tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,5,13,0,45,2568,110,24,male,1,prr,,1,0,10364,10365,10365,owl,right,1,,none,none,none,none,none,0,none,10365,,,,1,,,AP
alexandra,24m2h,2024,7,5,13,1,0,2568,110,24,male,1,prr,,1,0,1627,1627,1627,bus,,1,,,,,,,1,,1627,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,7,2568,110,24,male,1,prr,,1,0,1567,1567,1567,flower,,1,,,,,,,1,,1567,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,16,2568,110,24,male,1,prr,,1,0,2670,2670,2670,elephant,,1,,,,,,,1,,2670,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,27,2568,110,24,male,1,prr,,1,0,4072,4072,4072,elephant4,,1,,,,,,,1,,4072,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,37,2568,110,24,male,1,prr,,1,0,2411,2412,2412,elephant,,1,,,,,,,1,,2412,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,45,2568,110,24,male,1,prr,,1,0,1638,1638,1638,bus,,1,,,,,,,1,,1638,,,,1,,,
alexandra,24m2h,2024,7,5,13,1,51,2568,110,24,male,1,prr,,1,0,15557,16290,16290,bus,,1,,,,,,,0,,16290,,,,1,,,
alexandra,24m2h,2024,7,5,13,2,13,2568,110,24,male,1,prr,,1,0,6867,6867,6867,elephant2,,1,,,,,,,0,,6867,,,,1,,,
alexandra,24m2h,2024,7,5,13,2,24,2568,110,24,male,1,tpr,prpt,1,0,2047,2047,2047,owl,,1,,,,,,,1,,2047,,2067,prpt,1,1,,
alexandra,24m2h,2024,7,5,13,2,30,2568,110,24,male,2,tpr,prpt,1,0,1316,1316,1316,owl,,1,,,,,,,1,,1316,,1316,prpt,1,1,,
alexandra,24m2h,2024,7,5,13,2,36,2568,110,24,male,3,tpr,prpt,1,0,1427,1428,1428,elephant,,1,,,,,,,1,,1428,,1428,prpt,1,1,,
alexandra,24m2h,2024,7,5,13,2,41,2568,110,24,male,4,tpr,prpt,1,0,8404,8404,8404,elephant,,1,,,,,,,0,,8404,,,prpt,1,1,,
alexandra,24m2h,2024,7,5,13,2,54,2568,110,24,male,5,tpr,prpt,1,0,3402,3402,3402,owl,,1,9,,,,,,1,,3402,,,prpt,1,,,
