tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,11,11,14,4,12,2779,154,18,female,1,prl,,1,0,8527,8528,8528,elephant,left,1,,no,,none,none,none,0,none,8528,,,,1,,,AP
alexandra,24m2h,2024,11,11,14,4,24,2779,154,18,female,1,prl,,1,0,19695,19695,19695,flower,,1,,,,,,,0,,19695,,,,1,,,
alexandra,24m2h,2024,11,11,14,4,49,2779,154,18,female,1,prl,,1,0,11749,11749,11749,elephant4,,1,,,,,,,0,,11749,,,,1,,,
alexandra,24m2h,2024,11,11,14,5,5,2779,154,18,female,1,prl,,1,0,15227,15227,15227,owl,,1,,,,,,,0,,15227,,,,1,,,
alexandra,24m2h,2024,11,11,14,5,25,2779,154,18,female,1,prl,,1,0,1142,1143,1143,elephant4,,1,,,,,,,1,,1143,,,,1,,,
alexandra,24m2h,2024,11,11,14,5,30,2779,154,18,female,1,prl,,1,0,6395,9413,9413,flower,,1,,,,,,,0,,9413,,,,1,,,
alexandra,24m2h,2024,11,11,14,5,44,2779,154,18,female,1,tpl,prpt,1,0,5506,7323,7323,apple,,1,,,,,,,0,,7323,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,5,55,2779,154,18,female,2,tpl,prpt,1,0,404,404,404,bus,,1,,,,,,,1,,404,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,6,0,2779,154,18,female,3,tpl,prpt,1,0,1169,1169,1169,bus,,1,,,,,,,1,,1169,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,6,5,2779,154,18,female,4,tpl,inhb,0,0,980,980,980,elephant,,1,,,,,,,1,,980,,,inhb,0,,,
alexandra,24m2h,2024,11,11,14,6,16,2779,154,18,female,5,tpl,prpt,0,0,1706,1706,1706,flower,,1,,,,,,,1,,1706,,,prpt,0,,,
alexandra,24m2h,2024,11,11,14,6,29,2779,154,18,female,6,tpl,prpt,1,0,1109,1109,1109,owl,,1,,,,,,,1,,1109,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,6,34,2779,154,18,female,7,tpl,inhb,0,0,1125,1125,1125,elephant4,,1,,,,,,,1,,1125,,,inhb,0,,,
alexandra,24m2h,2024,11,11,14,6,45,2779,154,18,female,8,tpl,prpt,1,0,1089,1089,1089,elephant4,,1,,,,,,,1,,1089,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,6,50,2779,154,18,female,9,tpl,inhb,0,0,441,442,442,bus,,1,3,,,,,,1,,442,,,inhb,0,,,
alexandra,24m2h,2024,11,11,14,7,4,2779,154,18,female,10,tpl,prpt,1,0,1107,1107,1107,flower,,1,,,,,,,1,,1107,,,prpt,1,1,,
alexandra,24m2h,2024,11,11,14,7,9,2779,154,18,female,11,tpl,inhb,0,0,1120,1120,1120,elephant,,1,,,,,,,1,,1120,,,inhb,0,,,
alexandra,24m2h,2024,11,11,14,7,24,2779,154,18,female,12,tpl,prpt,0,0,1574,1574,1574,apple,,1,,,,,,,1,,1574,,,prpt,0,,,
alexandra,24m2h,2024,11,11,14,7,37,2779,154,18,female,13,tpl,prpt,1,0,92,92,92,apple,,0,3,,,,,,1,,92,,,prpt,1,,,
alexandra,24m2h,2024,11,11,14,7,41,2779,154,18,female,14,tpl,prpt,0,0,2110,2110,2110,flower,,1,,,,,,,1,,2110,,,prpt,0,,,
alexandra,24m2h,2024,11,11,14,7,59,2779,154,18,female,15,tpl,inhb,0,0,1055,1055,1055,elephant4,,1,,,,,,,1,,1055,,,inhb,0,,,
alexandra,24m2h,2024,11,11,14,8,9,2779,154,18,female,16,tpl,inhb,0,0,719,719,719,apple,,1,,,,,,,1,,719,,,inhb,0,,,
