tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,9,28,14,45,44,2752,144,16,female,1,prl,,1,0,50486,50487,50487,elephant4,left,1,,no,,none,none,none,0,none,50487,,,,1,,,ap
alexandra,24m2h,2024,9,28,14,46,39,2752,144,16,female,1,prl,,1,0,13635,13635,13635,bus,,1,,,,,,,0,,13635,,,,1,,,
alexandra,24m2h,2024,9,28,14,46,59,2752,144,16,female,1,prl,,1,0,2377,2377,2377,owl,,1,,,,,,,1,,2377,,,,1,,,
alexandra,24m2h,2024,9,28,14,47,6,2752,144,16,female,1,tpl,prpt,1,0,1701,1749,1749,elephant2,,1,,,,,,,1,,1749,,1749,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,47,12,2752,144,16,female,2,tpl,prpt,1,0,2704,2704,2704,bus,,1,,,,,,,1,,2704,,2704,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,47,18,2752,144,16,female,3,tpl,prpt,1,0,1285,1285,1285,flower,,1,,,,,,,1,,1285,,1285,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,47,24,2752,144,16,female,4,tpl,inhb,0,0,2068,2068,2068,owl,,1,3,,,,,,1,,2068,,,inhb,0,,,
alexandra,24m2h,2024,9,28,14,47,42,2752,144,16,female,5,tpl,prpt,0,0,1748,1748,1748,bus,,1,,,,,,,1,,1748,,,prpt,0,,,
alexandra,24m2h,2024,9,28,14,47,49,2752,144,16,female,6,tpl,prpt,1,0,168,168,168,apple,,0,3,,,,,,1,,168,,,prpt,0,,,
alexandra,24m2h,2024,9,28,14,47,53,2752,144,16,female,7,tpl,inhb,0,0,659,659,659,elephant4,,1,,,,,,,1,,659,,,inhb,0,,,
alexandra,24m2h,2024,9,28,14,48,0,2752,144,16,female,8,tpl,prpt,1,0,2036,2036,2036,bus,,1,,,,,,,1,,2036,,2036,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,6,2752,144,16,female,9,tpl,prpt,1,0,413,413,413,apple,,1,,,,,,,1,,413,,413,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,11,2752,144,16,female,10,tpl,prpt,1,0,2084,2084,2084,elephant,,1,,,,,,,1,,2084,,2084,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,17,2752,144,16,female,11,tpl,prpt,1,0,6915,6915,6915,elephant2,,1,,,,,,,0,,6915,,,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,29,2752,144,16,female,12,tpl,prpt,1,0,1448,1449,1449,apple,,1,,,,,,,1,,1449,,1449,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,34,2752,144,16,female,13,tpl,inhb,1,0,2103,2104,2104,elephant4,,1,,,,,,,1,,2104,2104,,inhb,1,,1,
alexandra,24m2h,2024,9,28,14,48,40,2752,144,16,female,14,tpl,inhb,1,0,562,562,562,apple,,1,,,,,,,1,,562,562,,inhb,1,,1,
alexandra,24m2h,2024,9,28,14,48,45,2752,144,16,female,15,tpl,prpt,1,0,1894,1894,1894,elephant2,,1,,,,,,,1,,1894,,1894,prpt,1,1,,
alexandra,24m2h,2024,9,28,14,48,51,2752,144,16,female,16,tpl,prpt,1,0,11032,11032,11032,elephant4,,1,,,,,,,0,,11032,,,prpt,1,1,,
