tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,8,13,13,36,56,2657,130,18,female,1,prl,,1,0,5924,5925,5925,owl,left,1,none,did not do last 2,none,none,none,none,0,none,5925,,,,1,,,AP
alexandra,24m2h,2024,8,13,13,37,6,2657,130,18,female,1,prl,,1,0,3322,3480,3480,elephant4,,1,,,,,,,1,,3480,,,,1,,,
alexandra,24m2h,2024,8,13,13,37,14,2657,130,18,female,1,tpl,prpt,1,0,2853,17858,17858,elephant,,1,,,,,,,0,,17858,,,prpt,1,1,,
alexandra,24m2h,2024,8,13,13,37,36,2657,130,18,female,2,tpl,prpt,1,0,3327,3768,3768,owl,,1,,,,,,,1,,3768,,3768,prpt,1,1,,
alexandra,24m2h,2024,8,13,13,37,44,2657,130,18,female,3,tpl,prpt,1,0,2449,2541,2541,elephant2,,1,,,,,,,1,,2541,,2541,prpt,1,1,,
alexandra,24m2h,2024,8,13,13,37,51,2657,130,18,female,4,tpl,inhb,0,0,5675,5766,5766,elephant,,1,,,,,,,0,,5766,,,inhb,0,,,
alexandra,24m2h,2024,8,13,13,38,9,2657,130,18,female,5,tpl,prpt,1,0,4590,4605,4605,elephant4,,1,,,,,,,1,,4605,,4605,prpt,1,1,,
alexandra,24m2h,2024,8,13,13,38,18,2657,130,18,female,6,tpl,inhb,0,0,3630,3737,3737,apple,,1,,,,,,,1,,3737,,,inhb,0,,,
alexandra,24m2h,2024,8,13,13,38,28,2657,130,18,female,7,tpl,prpt,1,0,1991,2298,2298,elephant,,1,,,,,,,1,,2298,,2298,prpt,1,1,,
alexandra,24m2h,2024,8,13,13,38,34,2657,130,18,female,8,tpl,prpt,1,0,2895,3160,3160,flower,,1,,,,,,,1,,3160,,3160,prpt,1,1,,
